STATECODE,COUNTYCODE,SITENUM,PARAMETERCODE,POC,LATITUDE,LONGITUDE,DATUM,PARAMETERNAME,SAMPLEDURATION,POLLUTANTSTANDARD,METRICUSED,METHODNAME,YEAR,UNITSOFMEASURE,EVENTTYPE,OBSERVATIONCOUNT,OBSERVATIONPERCENT,COMPLETENESSINDICATOR,VALIDDAYCOUNT,REQUIREDDAYCOUNT,EXCEPTIONALDATACOUNT,NULLDATACOUNT,PRIMARYEXCEEDANCECOUNT,SECONDARYEXCEEDANCECOUNT,CERTIFICATIONINDICATOR,NUMOBSBELOWMDL,ARITHMETICMEAN,ARITHMETICSTANDARDDEV,1STMAXVALUE,1STMAXDATETIME,2NDMAXVALUE,2NDMAXDATETIME,3RDMAXVALUE,3RDMAXDATETIME,4THMAXVALUE,4THMAXDATETIME,1STMAXNONOVERLAPPINGVALUE,1STNOMAXDATETIME,2NDMAXNONOVERLAPPINGVALUE,2NDNOMAXDATETIME,99THPERCENTILE,98THPERCENTILE,95THPERCENTILE,90THPERCENTILE,75THPERCENTILE,50THPERCENTILE,10THPERCENTILE,LOCALSITENAME,ADDRESS,STATENAME,COUNTYNAME,CITYNAME,CBSANAME,DATEOFLASTCHANGE
17,031,0072,44201,1,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1997,Parts per million,Events Included,5156,97,Y,207,214,0,0,9,9,Certified,0,0.043092,0.016133,0.097,1997-06-29 12:00,0.095,1997-08-02 12:00,0.092,1997-07-12 11:00,0.091,1997-07-01 13:00,,,,,0.092,0.09,0.071,0.063,0.052,0.042,0.024,JARDINE WATER PLANT,1000 E. OHIO,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2021-03-20
24,019,9991,44201,9,,,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1997,Parts per million,Events Included,8704,99,Y,212,214,0,0,44,44,Certification not required,0,0.059146,0.019247,0.11,1997-07-14 10:00,0.109,1997-06-25 11:00,0.104,1997-07-15 12:00,0.099,1997-07-28 11:00,,,,,0.104,0.098,0.093,0.086,0.073,0.057,0.043,Blackwater NWR,"Blackwater National Wildlife Refuge, Cambridge, MD 21613",Maryland,Dorchester,,"Cambridge, MD",2021-03-20
55,059,0022,44201,1,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1997,Parts per million,Events Included,4037,78,Y,167,214,0,0,1,1,Certification not required,0,0.042353,0.014159,0.1,1997-07-12 12:00,0.083,1997-08-08 14:00,0.079,1997-06-05 13:00,0.078,1997-09-15 09:00,,,,,0.083,0.078,0.066,0.06,0.05,0.042,0.024,SHELTER LOCATED IN OPEN FIELD NORTH OF BUILDINGS AT 900 WOOD RD,"UW PARKSIDE, 900 WOOD RD, KENOSHA",Wisconsin,Kenosha,Not in a city,"Chicago-Naperville-Elgin, IL-IN-WI",2021-03-20
55,059,0022,44201,1,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1997,Parts per million,Events Included,4037,78,Y,167,214,0,0,4,4,Certification not required,0,0.042353,0.014159,0.1,1997-07-12 12:00,0.083,1997-08-08 14:00,0.079,1997-06-05 13:00,0.078,1997-09-15 09:00,,,,,0.083,0.078,0.066,0.06,0.05,0.042,0.024,SHELTER LOCATED IN OPEN FIELD NORTH OF BUILDINGS AT 900 WOOD RD,"UW PARKSIDE, 900 WOOD RD, KENOSHA",Wisconsin,Kenosha,Not in a city,"Chicago-Naperville-Elgin, IL-IN-WI",2021-03-20
01,015,0001,11101,1,123.65677,-265.82441,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1983,Micrograms/cubic meter (25 C),No Events,51,85,Y,51,60,0,0,,,Certification not required,0,43.294118,16.520647,89,1983-07-23 00:00,83,1983-07-17 00:00,83,1983-08-10 00:00,79,1983-07-11 00:00,,,,,89,83,83,65,50,41,24,,309 EAST 8TH STREET,Alabama,Calhoun,Anniston,"Anniston-Oxford-Jacksonville, AL",2020-05-21
01,023,0002,11101,1,122.20570,-268.05363,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1983,Micrograms/cubic meter (25 C),No Events,45,75,Y,45,60,0,0,,,Certification not required,0,48.977778,29.257857,128,1983-11-02 00:00,128,1983-11-08 00:00,114,1983-10-27 00:00,112,1983-10-03 00:00,,,,,128,128,114,97,58,39,21,,P.O. BOX 183,Alabama,Choctaw,,,2020-05-21
01,033,0041,11101,1,124.76370,-267.65281,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1983,Micrograms/cubic meter (25 C),No Events,48,80,Y,48,60,0,0,,,Certification not required,0,53,23.140643,122,1983-08-10 00:00,102,1983-07-11 00:00,100,1983-07-29 00:00,87,1983-08-22 00:00,,,,,122,122,100,84,69,47,25,,0.98 MI. SSW OF NFDC CHIMNEY,Alabama,Colbert,Not in a city,"Florence-Muscle Shoals, AL",2020-05-21
01,047,0002,11101,1,122.40819,-267.01777,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1983,Micrograms/cubic meter (25 C),No Events,38,63,N,38,60,0,0,,,Certification not required,0,51.710526,16.778216,93,1983-09-15 00:00,89,1983-08-22 00:00,81,1983-07-11 00:00,80,1983-09-27 00:00,,,,,93,93,89,80,59,51,33,,ALABAMA AVE AT FRANKLIN STREET.,Alabama,Dallas,Selma,"Selma, AL",2020-05-21
01,049,1002,11101,1,124.45620,-265.70719,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1983,Micrograms/cubic meter (25 C),No Events,56,93,Y,56,60,0,0,,,Certification not required,0,51.732143,27.371844,177,1983-04-30 00:00,115,1983-08-22 00:00,106,1983-08-10 00:00,87,1983-07-11 00:00,,,,,177,115,106,85,64,48,27,FT.PAYNE (CLOSED),1500 WILLIAMS AVE. N.E.,Alabama,DeKalb,Fort Payne,"Fort Payne, AL",2020-05-21
01,055,0001,44201,1,123.99982,-266.10748,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1983,Parts per million,No Events,5027,74,N,203,275,0,0,12,12,Certification not required,0,0.050138,0.020706,0.105,1983-08-20 09:00,0.1,1983-08-21 09:00,0.095,1983-08-22 08:00,0.092,1983-08-18 10:00,,,,,0.095,0.091,0.086,0.079,0.066,0.049,0.023,,ATTALLA COMMUNITY CENTER,Alabama,Etowah,Attalla,"Gadsden, AL",2020-05-21
